label	files	dirs	bytes	role_suggestion	path
DISCOVERED_TEMPLATE_LIKE_DIR	7	0	4238	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_LAB_CONTROL
DISCOVERED_TEMPLATE_LIKE_DIR	2	0	698	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\00_PROJECT_CONTROL
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	521	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CTL
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	101	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\01_OBJ
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	521	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\00_CONTROL
DISCOVERED_TEMPLATE_LIKE_DIR	2	0	1019	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SCENARIO_001_visual_task_management_module
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	802	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS\SIM_PROJECT_20260619-144124
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	52	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\05_GATES
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	45	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\10_CANVAS
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	63	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\04_EVID
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	113	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\02_ROAD
DISCOVERED_TEMPLATE_LIKE_DIR	1	0	61	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\BOVEDA_PROYECTO\00_PLANTILLA_MAESTRA_OFICIAL\03_MODS
DISCOVERED_TEMPLATE_LIKE_DIR	9	0	40530	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\10_CANVAS
DISCOVERED_TEMPLATE_LIKE_DIR	3	0	757	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\03_SIMULATED_TASKS\SIM_PROJECT_20260619-152304_prueba1
DISCOVERED_TEMPLATE_LIKE_DIR	4	0	2094	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\09_LEARNING
DISCOVERED_TEMPLATE_LIKE_DIR	0	0	0	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_WORK_SURFACES
DISCOVERED_TEMPLATE_LIKE_DIR	5	2	2727	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\08_RESULTS
DISCOVERED_TEMPLATE_LIKE_DIR	3	0	1801	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\04_SIMULATED_WORKERS\RUNS\SIM_PROJECT_20260619-144124
DISCOVERED_TEMPLATE_LIKE_DIR	3	0	1825	PLANTILLA_CORTA_O_ARTEFACTO_NO_CANONICO	C:\Users\pc\Desktop\ENGREMIAT_OPERATOR\ENGREMIAT_PROJECT_p3_20260619-224903\ARCHIVOS\PLANTILLAS\MAESTRO_ORIGINAL\07_EVIDENCE\SIM_PROJECT_20260619-144124
