"ProcessName","Id","CPU","WorkingSetMB","StartTime","Path","MainWindowTitle"
"Docker Desktop","2940","79,546875","113,29","18/06/2026 11:51:58","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe",""
"docker-agent","6392","0,09375","44,78","18/06/2026 11:51:58",,""
"docker-sandbox","11856","0,0625","26,41","18/06/2026 11:51:58",,""
"dwm","1720",,"116,31",,,""
"explorer","6816","18,46875","218,33","18/06/2026 11:46:31","C:\WINDOWS\Explorer.EXE",""
"fontdrvhost","1488",,"4,77",,,""
"fontdrvhost","1480",,"5,59",,,""
"GigabyteUpdateService","6844",,"8,07",,,""
"Idle","0",,"0,01",,,""
"LsaIso","1288",,"4,19",,,""
"lsass","1296",,"27,58",,,""
"Memory Compression","3100",,"0",,,""
"MicrosoftStartFeedProvider","12316","0,578125","47,97","18/06/2026 11:46:33","C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.302.5.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe",""
"msedge","16008","103,59375","550,12","18/06/2026 11:46:43","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe",""
"msedge","14724","4,140625","211,98","18/06/2026 11:46:39","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe",""
